127.0.0.1 -- [2021-11-14 02:44:52,147]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:44:52,147]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:44:52,148]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:44:52,149]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:44:52,150]:  "PUT /new9.html HTTP/1.1" 200 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:44:52,150]:  GETT /index.html HTTP/1.1" 501 269 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:44:52,150]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:44:52,160]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 02:44:52,161]:  "DELETE /new7.html HTTP/1.1" 400 239 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,286]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,288]:  "GET /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,290]:  "GET /a.html HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,292]:  "GET /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,293]:  "GET /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,295]:  "GET /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,297]:  "GET /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,299]:  "GET /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,301]:  "GET /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,303]:  "GET /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,305]:  "GET /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,307]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,310]:  "HEAD /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,312]:  "HEAD /a.html HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,314]:  "HEAD /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,316]:  "HEAD /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,318]:  "HEAD /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,320]:  "HEAD /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,322]:  "HEAD /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,324]:  "HEAD /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,326]:  "HEAD /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,328]:  "HEAD /a.txt HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:04:45,330]:  "PUT /new.txt HTTP/1.1" 201 20 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:05:38,340]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:57:54,949]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:57:55,214]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:57:55,240]:  "GET /screenshot.png HTTP/1.1" 414 246 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 13:57:55,241]:  "GET /website/demo.pdf HTTP/1.1" 414 246 "Apache/2.4.41 (Ubuntu)"

